from,sent_amount,sent_count
0x811beed0119b4afce20d2583eb608c6f7af1954f,609715576582040.0,415
0x966a707d9787fd5be0c38900f393f0ff86a0ac1b,227629109019073.03,95
0x494cc492c9f01699bff1449180201dbfbd592ea5,73936202317261.38,10
0x6150b4d7b46a9e7e72343e4b0bb4b9db64e6077f,63564523599600.055,8
0x6a5a64914be4bbd99931a1b95b01b2f4938087a5,56129496624600.055,3
0x6429042146d7b3a8590ed836804bfab49a2da1f6,51171046958782.91,7
0xefe366e42f6e2684ef608581f7b743b0fb8d64d2,46283869108396.375,10
0x3f499fe484a61af03b01ea5c81eab14f67c11a5a,44329664561408.04,5
0x4495522aec35095635a86224c07178903884cbfc,38610441356504.555,3
0xa596a01acb9e36ae574495dced3922377abbbb74,30560912594262.043,6
0xbe23cbb62064b8b1550ae5ada59c39d45b1e2081,24504345227591.027,1
0xec48d2c85d18992b7454474e00587765b93593ed,20911092298732.477,3
0xbb76a21890aafdf7722e7952409a637abbd0e112,18196085825168.7,3
0x20c27c130155685070a7bf3cfe7084e70e06bf64,16308228529922.096,2
0x8b515f969318c02adec760e54183ff100efd54fa,14563819440818.344,7
0x4931364e21537b600e743fb1abfd8f0e2ad48840,14000000000000.0,3
0xeb959caad3bb6e28ba3d9312a8a7ce745767249d,11796254862489.576,1
0x3bcc84b7d10afbabb358b7f55b7ed1c9d75e7c16,10657452336532.844,1
0xd877a3be1377aea3d2bcdcc353a5df35d0fe4fd4,9889375778583.55,2
0x5acb78f940894dfc66fec4c982576870180a90cc,9143394618535.932,1
0x64110cbd7ebfa832a6854ce9c83543da6e295959,8051424885382.951,3
0xe9c0f4667b51a4fd4f4fa7ea0055efb01b01f89d,7780705522026.636,3
0x7329c9ead9b5bb0ad240b75c3cfdc2828ac2efcf,7286321717204.097,4
0xb8f226ddb7bc672e27dffb67e4adabfa8c0dfa08,7056813798018.614,3
0xe00ce1228e20679ebb585267e4f2a9531542cc71,6977793106824.771,1
0x9ca741328b1fcb06f5abb2d303918e613c72dad9,6930792774899.56,4
0x1149ae5cbe285f4f040c549c1089df628d73fba1,6698600348261.799,5
0x64b26d2db5c86bf6e55ad23b4653b43e62736ffc,6693376779122.62,6
0xf7b11423646227bf035edd9aef4d3bd75334ab31,6677552282102.0,1
0x21f1d0daa58f49a0a03855966e79026d2001d00e,6250132150473.205,2
0xa512e549d68f15a9f23c1df98970e684301ac1e7,6000000000000.0,1
0xdf1bac82673d6b9a18d9c476fd90bbecf00fce5d,5494206445445.311,1
0x5f2941c2752b4ba3748d1c82db65f78ba57c5855,5411564245089.977,1
0x6631bb3879bc24ce84e34057ae4bc9b2f865b6d1,5339023515012.037,2
0x0b5dec45f20a006448e017c52c5d01620f16f505,5211780202675.191,2
0xf719071657308f7f139db2602728b1f20d2e9152,5000000000000.0,1
0x54e3cc50b94b6c25980b87bd87a38f5c4a6d9f72,4955697373842.107,1
0xde9a6aab82f1e3ecca2603110d2409e5c63d2850,4893083608346.341,2
0xa669bc379b84011024681a318c033a6b155c6a9c,4739532007098.104,2
0x96e9f8011a77f1219fd178211af5fe6f06bb4b26,4734965844569.555,10
0x0cac9c3d7196f5bbd76fadcd771fb69b772c0f9d,4706252994931.0,1
0x669a7e45136f1db0769f4ad10837276399b3ee0a,4693674684966.685,4
0x2465a4e687867e0a90f4d296a437e6fa24e49c7c,4673617449506.0,1
0x780585307cf023803099caa53a776844bb77da6e,4608769596511.63,1
0xc6cc9f8c22e18eda573d5337b76227b0e6343e8f,4567488809168.174,1
0xce864729ab8b45b8464993e5f7d873e6f6fc9a56,4501000000000.0,3
0x7a9ade7a35cab1b1e82cc52c9411de75caf1b5dc,4300808250789.1416,3
0x6828426a646f55cac2807e83478aa1691ad876fe,4032089414222.344,4
0x16b7ad71b3025d0d6cd429b93c81189cab9a3772,4009588266713.428,2
0xf555b31ee9a660d40f04b1ead60fcebecee6ddbb,3923375103346.6753,4
0x691e1d2ef45d52c7ca946638b1400933592330a6,3714539486305.25,1
0xec2a9a192929ed1f280f7fd8935b881e3a649dc0,3504973816324.692,1
0x17ce34225805be58872d52b7e2993a3e92723c92,3347188389561.31,2
0xba29bf8046d46d687dc00f09caddb0c83540caeb,3199861659990.065,1
0xbaae44f17111c21c074610882a924291127f4f3d,3191124304282.2017,1
0x86b337be60c942e80f31e7be097de1ca821c5f7f,3149463591507.853,2
0xe1c629fe25fe345650199ce1b79fd561adb777ca,3138997083620.5,1
0x7aafdfeb7a118b1c39bf0e5d9f91051fd4ee0640,3111107904437.1177,1
0xb38094d492af4fffff760707f36869713bfb2250,2774983835941.158,2
0xaa7a7c2decb180f68f11e975e6d92b5dc06083a6,2697520065708.312,1
0xa7752334d00594997ce3321bc7401761036e0b87,2686672406087.782,1
0x87616fa850c87a78f307878f32d808dad8f4d401,2629935113920.946,1
0x11111254369792b2ca5d084ab5eea397ca8fa48b,2600685839639.651,2
0xd497d66e181dae16e54d94bec2aecbba0ca831e7,2572197825811.8545,1
0x343e3a490c9251dc0eaa81da146ba6abe6c78b2d,2572197825811.8545,1
